"filename", "language", "JSON", "Properties", "XML", "C#", "YAML", "comment", "blank", "total"
"/media/storage/Desktop/mvc-dotnet/docker-compose.yml", "YAML", 0, 0, 0, 0, 10, 0, 2, 12
"/media/storage/Desktop/mvc-dotnet/mvc-dotnet.csproj", "XML", 0, 0, 27, 0, 0, 0, 4, 31
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/.NETCoreApp,Version=v10.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 3, 0, 1, 1, 5
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/mvc-dotnet.AssemblyInfo.cs", "C#", 0, 0, 0, 9, 0, 9, 5, 23
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/mvc-dotnet.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 31, 0, 0, 0, 0, 1, 32
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/mvc-dotnet.GlobalUsings.g.cs", "C#", 0, 0, 0, 16, 0, 1, 1, 18
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/rjsmcshtml.dswa.cache.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/rjsmrazor.dswa.cache.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/rpswa.dswa.cache.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/staticwebassets.build.endpoints.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"/media/storage/Desktop/mvc-dotnet/obj/Debug/net10.0/staticwebassets.build.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"/media/storage/Desktop/mvc-dotnet/obj/mvc-dotnet.csproj.nuget.dgspec.json", "JSON", 545, 0, 0, 0, 0, 0, 0, 545
"/media/storage/Desktop/mvc-dotnet/obj/mvc-dotnet.csproj.nuget.g.props", "XML", 0, 0, 23, 0, 0, 0, 0, 23
"/media/storage/Desktop/mvc-dotnet/obj/mvc-dotnet.csproj.nuget.g.targets", "XML", 0, 0, 7, 0, 0, 0, 0, 7
"/media/storage/Desktop/mvc-dotnet/obj/project.assets.json", "JSON", 3777, 0, 0, 0, 0, 0, 0, 3777
"Total", "-", 5813, 31, 57, 5855, 10, 66, 1714, 13546
